,URL,Вопрос,Ответ
0,http://www.cbr.ru/Reception/TopicalMessage/Page/291,"Какими полномочиями должен обладать орган управления эмитента, устав которого составлен в соответствии с законодательством Украины, чтобы его можно было признать уполномоченным принять решение об утверждении выпуска акций с номинальной стоимостью в рублях, подлежащих размещению путем конвертации в них акций той же категории (типа) с номинальной стоимостью в гривнах.",
1,http://www.cbr.ru/Reception/TopicalMessage/Page/632,"По условиям договора банковского счета начисление и выплата процентов осуществляются за каждый процентный период (календарный месяц) на сумму минимального остатка в соответствующий процентный период. Выплата процентов осуществляется ежемесячно, в последний календарный день месяца. В качестве базы для начисления процентов и определения процентной ставки используется минимальный остаток по счету, учитываемый на счете на начало операционного дня в течение соответствующего календарного месяца. При зачислении/списании денежных средств на счет/со счета расчет минимальной суммы, находившейся на счете в течение календарного месяца, производится со дня, следующего за днем зачисления/списания денежных средств на счет/со счета. Выплаченные проценты капитализируются. Расчет ПСВ по таким счетам следует производить исходя из процентной ставки, которая уплачивается на сумму, находящуюся на счете на дату его открытия?",
2,http://www.cbr.ru/Reception/TopicalMessage/Page/633,"Если в течение отчетного месяца было изменение ставок по счетам по инициативе банка, то будет ли правильным рассчитывать проценты:
— за месяц, в котором изменились процентные ставки, исходя из минимальной суммы с начала месяца до даты изменений;
— за последующие месяцы — исходя из суммы на счете на дату внесения изменений.",
3,http://www.cbr.ru/Reception/TopicalMessage/Page/634,"Для определения значения показателя «D» в формуле расчета ПСВ при изменении или продлении договора согласно Указанию берется остаток средств, хранящихся на соответствующем балансовом счете, с начисленными процентами по состоянию на дату изменения, продления договора. Какие проценты в таком случае должны быть прибавлены к сумме остатка по счету?",
4,http://www.cbr.ru/Reception/TopicalMessage/Page/635,Возможно ли отнесение договоров банковского счета к категории срочности отличной от категории «до востребования» в случае если проценты по таким договорам начисляются и выплачиваются в зависимости от срока хранения размещенных на счете средств?,
5,http://www.cbr.ru/Reception/TopicalMessage/Page/636,"Как рассчитать ПСВ по договору банковского счета если при заключении договора банковского счета денежные средства клиентом не внесены либо остаток средств, хранящихся на соответствующем балансовом счете, по состоянию на дату изменения, продления договора банковского счета равны нулю или по счету отрицательный остаток?",
6,http://www.cbr.ru/Reception/TopicalMessage/Page/637,"Какое количество дней использовать при расчете ПСВ по вкладам до востребования, если они открыты в обычном году, а следующий за ним год будет високосным?",
7,http://www.cbr.ru/Reception/TopicalMessage/Page/667,"Следует ли считать изменением и включать в расчет ПСВ суммы конвертируемые вкладчиком из одной валюты в другую (в т.ч. рубли) в течении действия заключенного договора по вкладу? Если такие операции подлежат включению в отчет, то по какому сроку их следует группировать — исходя из всего срока действия договора вклада или исходя из оставшегося срока действия договора вклада?",
8,http://www.cbr.ru/Reception/TopicalMessage/Page/825,Должна ли управляющая компания включать при составлении консолидированной финансовой отчетности активы и обязательства паевого инвестиционного фонда? В каком случае?,"Согласно пункту 4 части 1 статьи 2 Федерального закона от 27.07.2015 № 208-ФЗ «О консолидированной отчетности» (далее — Федеральный закон № 208-ФЗ) требование по составлению и представлению консолидированной финансовой отчетности установлено для управляющих компаний, осуществляющих доверительное управление паевым инвестиционным фондом (далее — ПИФ)."
9,http://www.cbr.ru/Reception/TopicalMessage/Page/928,"Я успешно прошел регистрацию, получил подтверждение. Почему меня не зачислили на семинар?","Полученное подтверждение является подтверждением об успешной отправке регистрационной анкеты в Банк России, но не является подтверждением участия в выбранной Вами программе обучения."
